t	x bouchon	y bouchon	x CM	y CM	x base	y base
2,015	0,2564149367	0,3451588504	0,4992971863	0,3983358425	0,5572018302	0,4126984662
2,045	0,2493468374	0,3553683272	0,4955566266	0,3945952828	0,5536677806	0,4040596782
2,074	0,2399227049	0,3659704762	0,4893223604	0,3864907367	0,5497410587	0,3918868404
2,104	0,2328546056	0,376179953	0,484958374	0,3796330438	0,5454216647	0,3820700358
2,147	0,2281425394	0,3840333967	0,4818412409	0,3733987776	0,5391389097	0,371860559
2,177	0,2242158175	0,3938502014	0,4781006812	0,3665410848	0,5344268435	0,3616510822
2,206	0,2206817679	0,403667006	0,4737366948	0,3609302452	0,5301074495	0,3494782445
2,236	0,2183257348	0,412305794	0,466879002	0,3522022725	0,5230393502	0,3404467842
2,279	0,2171477182	0,4193738934	0,4581510293	0,3465914329	0,5179346118	0,3322006683
2,308	0,2155770295	0,429190698	0,4556573228	0,3403571666	0,5112591846	0,3204205028
2,338	0,2171477182	0,4350807808	0,451916763	0,3334994738	0,5069397906	0,310211026
2,367	0,2187184069	0,4429342245	0,4469293501	0,3197840881	0,4983010025	0,2964674995
2,41	0,2203124227	0,4475529824	0,443812217	0,3123029687	0,4912329032	0,2874360393
2,44	0,22311167	0,4542011947	0,4400716572	0,2992110096	0,4841648039	0,2752632015
2,469	0,2287101645	0,4587499715	0,4394482306	0,2911064635	0,4786673933	0,2650537247
2,499	0,2346585649	0,4625989364	0,428849978	0,2867424772	0,4700286052	0,2520955426
2,542	0,2402570594	0,4660979955	0,4226157118	0,2798847843	0,4637458503	0,2426714102
2,571	0,245855554	0,4671477132	0,4188751521	0,2724036649	0,4551070622	0,2301059003
2,601	0,2539033898	0,4671477132	0,4132643125	0,2611819857	0,448431635	0,2214671122
2,63	0,2630009434	0,4674976191	0,4082768995	0,2537008662	0,4401855192	0,2096869467
2,673	0,2703489675	0,4664479014	0,4032894865	0,2455963201	0,4327247477	0,1990847977
2,702	0,2787467092	0,4625989364	0,3995489268	0,2393620539	0,4217299265	0,1873046322
2,732	0,2892438865	0,4608494069	0,3964317937	0,2306340812	0,4162325159	0,1751317944
2,761	0,3011406873	0,4545511006	0,3895741008	0,2150484156	0,4068083835	0,1653149898
2,804	0,3123376763	0,4472030765	0,3845866879	0,2007096033	0,4005256285	0,1554981852
2,834	0,3224849477	0,4398550525	0,3793213305	0,1939800593	0,3907088239	0,1421473309
2,863	0,3336819367	0,430407593	0,3746092643	0,180629205	0,3808920193	0,1311525097
2,893	0,343829208	0,4230595689	0,3683265093	0,165707662	0,3746092643	0,1185869998
2,936	0,3557260088	0,4108128622	0,3667558206	0,1554981852	0,3655778041	0,1075921786
2,966	0,3651734683	0,3996158731	0,3620437544	0,1476447415	0,3577243604	0,09620468528
2,995	0,3781199869	0,3866693546	0,3565463438	0,1366499203	0,3490855723	0,08363917536
3,025	0,3882672582	0,373722836	0,3510489332	0,1264404435	0,3412321286	0,07342969856
3,068	0,3987644354	0,3558776347	0,3447661783	0,1099482117	0,3345567015	0,0620422052
3,098	0,4110111422	0,3383823394	0,3384834233	0,09502666872	0,3235618803	0,04672798999
3,127	0,4201086958	0,3233363854	0,3345567015	0,08089047007	0,3129597313	0,03651851319
3,157	0,4281565316	0,3033917486	0,331415324	0,07146633763	0,3054989598	0,0259163642
			0,3267032578	0,06439823831	0,2968601717	0,01335085428
