t	step	xbase	ybase	xbouchon	ybouchon	theta
s		m	m	m	m	rad
2,136	65	0,3930242134	0,2136784348	0,5211863249	0,1715945148	1,88806851283689
2,165	66	0,3940808609	0,2224335137	0,5162775266	0,1628440483	2,02451694057321
2,208	67	0,3958922565	0,2313395422	0,5103015982	0,1553741378	2,15693595412222
2,237	68	0,3972508033	0,2390379737	0,5017645576	0,1489713574	2,2820828119867
2,267	69	0,39860935	0,2456797577	0,4932275171	0,1438491331	2,39289219356425
2,296	70	0,4013264434	0,2523215417	0,4827696424	0,1400074648	2,51419404808085
2,339	71	0,4014773931	0,2563971819	0,4738057499	0,1368060746	2,59765332594807
2,369	72	0,4043454362	0,262133268	0,4631344492	0,1353120925	2,70752099406116
2,398	73	0,4070625296	0,2668127068	0,4516094445	0,1355255185	2,81447374091739
2,428	74	0,4082701267	0,2734544907	0,4411515698	0,1361657966	2,90651497805353
2,471	75	0,4106853209	0,2784358287	0,4298399911	0,1383000567	3,00574796972692
2,5	76	0,4129495654	0,2835681164	0,4198089685	0,1417148729	3,09327465925251
2,53	77	0,4161195078	0,2882475551	0,4093510938	0,1470505233	3,18949193851681
2,559	78	0,4167233063	0,2917193967	0,3997469232	0,1515324696	3,26210403887748
2,602	79	0,4207989465	0,2962478858	0,3916367347	0,1558009898	3,34632221820699
2,631	80	0,4239688889	0,2985121304	0,3830996942	0,1615634922	3,43160586197142
2,661	81	0,4271388312	0,3016820727	0,3754163577	0,1677528466	3,51013971031064
2,69	82	0,4300068743	0,3037953676	0,3690135773	0,173728775	3,58008414948888
2,733	83	0,433025867	0,305304864	0,3619705188	0,1814121114	3,66231625092366
2,762	84	0,434686313	0,30696531	0,3566348685	0,1869611878	3,7182534883619
2,792	85	0,4374034065	0,3080219574	0,3515126442	0,1931505422	3,78362798256353
2,821	86	0,4404223992	0,30696531	0,3474575499	0,2006204527	3,8599596490674
2,864	87	0,4420828452	0,3075691085	0,3429756036	0,2070232331	3,91978527507708
2,894	88	0,4435923416	0,3075691085	0,3397742134	0,2123588834	3,97021351293626
2,923	89	0,4444980394	0,30696531	0,3361459712	0,2176945337	4,02324651612444
2,953	90	0,4457056365	0,3056067633	0,332517729	0,2236704621	4,08580464503225
2,996	91	0,4458565861	0,3043991662	0,3299566168	0,2290061124	4,13566159586505
